code,name,type
FNCE90076,Empirical Corporate Finance,Requisites apply | Subject
ELEN90079,Statistical Signal Processing,Requisites apply | Subject
ANTH40011,Critical Anthropological Theory,Subject
EDUC91022,Multimodal Literacies,Subject
NURS90146,Surgical Oncology Nursing,Subject
ISYS90093,Technopreneurship and Innovation,Requisites apply | Subject
COMP90070,Computer Science Research Project Pt3,Requisites apply | Subject
EDUC91027,STEM Learning Ecologies,Subject
ECON20013,Generating the Wealth of Nations,Subject
BUSA90492,Financial Analysis and Valuation,Quotas apply | Requisites apply | Subject
DRAM20033,Theatre Skills 1,Requisites apply | Subject
ENST90032,Sustainability and Behaviour Change,Subject
TRAN90023,Translation Technologies,Subject
BIOL40013,Research Project - RMH Part 2,Requisites apply | Subject
ELEN90056,Electronic Circuit Design,Requisites apply | Subject
ABPL90407,Representing Spatial Information,Requisites apply | Subject
GENE90003,Counselling Skills,Subject
LAWS90059,Commercial Law in Practice,Quotas apply | Requisites apply | Subject
JAPN20004,Japanese 8,Requisites apply | Subject
ITAL20007,Italian 3,Requisites apply | Subject
MKTG90039,Marketing Analytics,Quotas apply | Requisites apply | Subject
POPH90268,Adolescent Health Minor Thesis,Requisites apply | Subject
LAWS90066,Unilateral Conduct,Requisites apply | Subject
MUSI90033,Music Therapy Methods 2,Subject
MUSI10058,Conservatorium Choir 1,Requisites apply | Subject
COMP90016,Computational Genomics,Requisites apply | Subject
EDUC90870,Laying the Foundations for Your Research,Subject
PSYC90027,Clinical Psychology in Medical Settings,Requisites apply | Subject
CVEN90049,Structural Theory and Design 2,Requisites apply | Subject
MEDI90141,TOE - Practical,Requisites apply | Subject
HLTH90019,Indigenous Health and Nursing,Subject
NUTR20001,Food Nutrition and Health,Requisites apply | Subject
ENGR90043,MechEng Summer Research Project,Requisites apply | Subject
COMP20003,Algorithms and Data Structures,Requisites apply | Subject
EDUC91196,Doing Early Childhood Research,Requisites apply | Subject
EDUC91219,Learning Area Health Education (SI) 1,Subject
ENGL20020,"Romanticism, Feminism, Revolution",Subject
MUSI20149,Music Psychology,Subject
MGMT90292,Thinking and Acting Ethically,Requisites apply | Subject
MGMT30018,Business Communication,Requisites apply | Subject
PHYC90047,Physics Research Project Pt 3,Requisites apply | Subject
MGMT90165,Social Entrepreneurship,Quotas apply | Subject
EDUC91155,Learning Area Business Management 3,Requisites apply | Subject
ARBC40008,Arabic Studies Thesis Part 2,Requisites apply | Subject
ECON90047,Macroeconomics 2,Requisites apply | Subject
GEOG90031,Geography Minor Research Project Part 1,Requisites apply | Subject
LING40008,Experimental Phonetics,Requisites apply | Subject
CWRI40011,Graphic Narratives,Requisites apply | Subject
GENE20001,Foundations of Genetics and Genomics,Requisites apply | Subject
AHIS40019,The Book: Late Antiquity to Renaissance,Subject
ANTH30024,Money and Sweat: Economic Anthropology,Subject
MUSI10173,Guitar Ensemble 1 (Breadth),Subject
MUSI40112,Introduction to Instrumental Teaching,Quotas apply | Subject
LAWS90088,Disaster Law and Climate Adaptation,Quotas apply | Subject
AGRI10044,Plant Systems,Subject
EVSC30007,Landscape Ecosystem Project,Requisites apply | Subject
ACCT20002,Intermediate Financial Accounting,Requisites apply | Subject
LING90008,Language Program Evaluation,Subject
